id,ACTION
1,0.360467
2,0.866828
3,0.966298
4,0.979104
5,0.979758
6,0.976728
7,0.921966
8,0.995521
9,0.386644
10,0.970684
11,0.974489
12,0.885934
13,0.924932
14,0.842830
15,0.622625
16,0.847839
17,0.609646
18,0.794951
19,0.987132
20,0.983250
21,0.997137
22,0.986775
23,0.921709
24,0.978350
25,0.991349
26,0.893780
27,0.565701
28,0.886087
29,0.976491
30,0.502097
31,0.988171
32,0.979382
33,0.985236
34,0.923496
35,0.991867
36,0.920341
37,0.764754
38,0.989651
39,0.907190
40,0.632088
41,0.963086
42,0.983631
43,0.923484
44,0.973043
45,0.936436
46,0.994546
47,0.986328
48,0.950747
49,0.996069
50,0.983732
51,0.946553
52,0.929877
53,0.987245
54,0.934311
55,0.911190
56,0.958776
57,0.852970
58,0.989741
59,0.961133
60,0.986972
61,0.992939
62,0.997343
63,0.938800
64,0.955611
65,0.986517
66,0.984438
67,0.856727
68,0.973332
69,0.759470
70,0.531466
71,0.983438
72,0.854882
73,0.929249
74,0.991273
75,0.983065
76,0.984163
77,0.989065
78,0.907245
79,0.491537
80,0.993380
81,0.931114
82,0.992969
83,0.955555
84,0.966125
85,0.986599
86,0.942990
87,0.943740
88,0.990267
89,0.974566
90,0.403711
91,0.773958
92,0.702061
93,0.951236
94,0.971119
95,0.990653
96,0.974123
97,0.060139
98,0.895036
99,0.835693
100,0.982521
101,0.962917
102,0.266624
103,0.976695
104,0.930631
105,0.058208
106,0.959859
107,0.947748
108,0.992042
109,0.984969
110,0.991480
111,0.662837
112,0.984786
113,0.738469
114,0.986418
115,0.977266
116,0.931832
117,0.918765
118,0.964318
119,0.994737
120,0.978097
121,0.295946
122,0.966795
123,0.957197
124,0.989953
125,0.992671
126,0.959069
127,0.773437
128,0.446781
129,0.820024
130,0.741075
131,0.982390
132,0.985403
133,0.977078
134,0.712132
135,0.988375
136,0.932654
137,0.991851
138,0.851738
139,0.531842
140,0.911470
141,0.976513
142,0.929020
143,0.936767
144,0.975570
145,0.988791
146,0.833037
147,0.731394
148,0.918434
149,0.960906
150,0.972842
151,0.925067
152,0.228880
153,0.987457
154,0.841141
155,0.988622
156,0.912820
157,0.962642
158,0.973057
159,0.587438
160,0.828626
161,0.538084
162,0.981496
163,0.984244
164,0.980473
165,0.969673
166,0.987619
167,0.605871
168,0.977254
169,0.950822
170,0.986536
171,0.875474
172,0.932796
173,0.653853
174,0.986321
175,0.980754
176,0.856737
177,0.479870
178,0.974967
179,0.998588
180,0.915322
181,0.222710
182,0.765752
183,0.693946
184,0.915619
185,0.957100
186,0.891050
187,0.984329
188,0.850568
189,0.042622
190,0.984247
191,0.993284
192,0.944809
193,0.981131
194,0.966445
195,0.838577
196,0.996484
197,0.970021
198,0.809296
199,0.815706
200,0.426186
201,0.883069
202,0.880250
203,0.973515
204,0.240443
205,0.977571
206,0.786380
207,0.993695
208,0.987262
209,0.561160
210,0.366526
211,0.873469
212,0.984243
213,0.961067
214,0.939757
215,0.981565
216,0.769396
217,0.972410
218,0.989875
219,0.966879
220,0.975834
221,0.263096
222,0.989925
223,0.955365
224,0.750928
225,0.973288
226,0.406733
227,0.850116
228,0.995462
229,0.994630
230,0.981021
231,0.963450
232,0.851744
233,0.990290
234,0.077981
235,0.878593
236,0.847752
237,0.992965
238,0.966661
239,0.266902
240,0.995497
241,0.900326
242,0.308038
243,0.046674
244,0.985239
245,0.980527
246,0.994109
247,0.960009
248,0.852056
249,0.986671
250,0.865231
251,0.993775
252,0.916053
253,0.975503
254,0.863033
255,0.985618
256,0.928936
257,0.978330
258,0.712594
259,0.955226
260,0.977094
261,0.954532
262,0.912499
263,0.973860
264,0.992497
265,0.918263
266,0.962983
267,0.994309
268,0.994237
269,0.848558
270,0.981052
271,0.977424
272,0.631169
273,0.978622
274,0.200240
275,0.903079
276,0.347036
277,0.981726
278,0.984421
279,0.671158
280,0.985052
281,0.997865
282,0.992939
283,0.792779
284,0.922498
285,0.990909
286,0.806024
287,0.988898
288,0.948088
289,0.973268
290,0.990259
291,0.803176
292,0.660696
293,0.858687
294,0.896361
295,0.977375
296,0.018397
297,0.223900
298,0.826268
299,0.666917
300,0.987921
301,0.552680
302,0.995492
303,0.358985
304,0.665784
305,0.958005
306,0.981963
307,0.974966
308,0.978363
309,0.990220
310,0.972206
311,0.970128
312,0.980577
313,0.986833
314,0.899462
315,0.975698
316,0.965204
317,0.542914
318,0.976353
319,0.949700
320,0.998498
321,0.987852
322,0.014796
323,0.990637
324,0.973181
325,0.892679
326,0.907378
327,0.995070
328,0.987989
329,0.991409
330,0.987425
331,0.980951
332,0.968384
333,0.992119
334,0.749618
335,0.982611
336,0.975359
337,0.986243
338,0.788658
339,0.971554
340,0.881478
341,0.979307
342,0.768919
343,0.904946
344,0.982297
345,0.992790
346,0.872310
347,0.896371
348,0.880243
349,0.985577
350,0.561667
351,0.980573
352,0.975986
353,0.920800
354,0.727369
355,0.984736
356,0.995330
357,0.971544
358,0.968441
359,0.963678
360,0.166884
361,0.906122
362,0.909763
363,0.985068
364,0.526420
365,0.985148
366,0.923654
367,0.921254
368,0.990855
369,0.881475
370,0.982689
371,0.929314
372,0.978312
373,0.710482
374,0.008174
375,0.868920
376,0.960876
377,0.091812
378,0.811273
379,0.965837
380,0.714560
381,0.436407
382,0.958373
383,0.997300
384,0.935955
385,0.859417
386,0.921128
387,0.160896
388,0.715080
389,0.972357
390,0.937400
391,0.864669
392,0.983919
393,0.949071
394,0.962825
395,0.943165
396,0.959321
397,0.994134
398,0.984905
399,0.978596
400,0.933524
401,0.984537
402,0.990276
403,0.930407
404,0.790344
405,0.975677
406,0.937533
407,0.954983
408,0.988070
409,0.876430
410,0.989586
411,0.987828
412,0.923999
413,0.552515
414,0.983617
415,0.900860
416,0.549346
417,0.950090
418,0.955705
419,0.909343
420,0.986529
421,0.982362
422,0.974582
423,0.907805
424,0.897371
425,0.979060
426,0.960295
427,0.985581
428,0.988214
429,0.959801
430,0.991986
431,0.965327
432,0.914299
433,0.979451
434,0.687770
435,0.812715
436,0.986639
437,0.933901
438,0.043832
439,0.838046
440,0.018739
441,0.863707
442,0.990592
443,0.993890
444,0.963233
445,0.800730
446,0.994851
447,0.844269
448,0.993019
449,0.916601
450,0.986927
451,0.758509
452,0.963018
453,0.975293
454,0.724165
455,0.867999
456,0.902253
457,0.992101
458,0.977651
459,0.996675
460,0.151935
461,0.434386
462,0.991192
463,0.989941
464,0.953602
465,0.973216
466,0.994579
467,0.028708
468,0.841357
469,0.989555
470,0.889421
471,0.978143
472,0.983361
473,0.992139
474,0.909509
475,0.754047
476,0.927617
477,0.975644
478,0.970336
479,0.894530
480,0.990473
481,0.982039
482,0.956594
483,0.956142
484,0.975326
485,0.946972
486,0.842872
487,0.957413
488,0.988077
489,0.894079
490,0.944010
491,0.986365
492,0.942246
493,0.979615
494,0.973674
495,0.858628
496,0.996038
497,0.992397
498,0.997773
499,0.979963
500,0.985946
501,0.953829
502,0.437296
503,0.928541
504,0.956863
505,0.901473
506,0.983549
507,0.986797
508,0.950792
509,0.976712
510,0.082258
511,0.836671
512,0.967426
513,0.982055
514,0.647577
515,0.886148
516,0.965996
517,0.994919
518,0.830794
519,0.957790
520,0.615878
521,0.992237
522,0.589698
523,0.951244
524,0.028381
525,0.316105
526,0.200974
527,0.903965
528,0.907971
529,0.962580
530,0.986568
531,0.957473
532,0.912899
533,0.982815
534,0.959954
535,0.982798
536,0.992111
537,0.981662
538,0.948842
539,0.964770
540,0.660899
541,0.980965
542,0.898099
543,0.353661
544,0.897917
545,0.975591
546,0.995479
547,0.232607
548,0.936470
549,0.755511
550,0.920785
551,0.988891
552,0.959745
553,0.986624
554,0.905911
555,0.961525
556,0.990656
557,0.960383
558,0.937399
559,0.908339
560,0.990901
561,0.944319
562,0.921776
563,0.979568
564,0.432534
565,0.991589
566,0.982851
567,0.922494
568,0.523961
569,0.974756
570,0.981223
571,0.164696
572,0.965323
573,0.886835
574,0.384086
575,0.985192
576,0.977746
577,0.938415
578,0.964661
579,0.564841
580,0.832923
581,0.983153
582,0.914431
583,0.985607
584,0.824271
585,0.994946
586,0.707178
587,0.970227
588,0.953111
589,0.969991
590,0.914485
591,0.877329
592,0.990539
593,0.784756
594,0.994725
595,0.980118
596,0.992285
597,0.970466
598,0.852907
599,0.975399
600,0.828622
601,0.965297
602,0.853557
603,0.995664
604,0.982827
605,0.961239
606,0.958840
607,0.856780
608,0.989301
609,0.770002
610,0.705005
611,0.986744
612,0.986976
613,0.975496
614,0.327192
615,0.995727
616,0.242584
617,0.942249
618,0.803305
619,0.970875
620,0.976402
621,0.919816
622,0.962575
623,0.936376
624,0.741847
625,0.817507
626,0.994105
627,0.988586
628,0.991282
629,0.994444
630,0.986347
631,0.980587
632,0.926353
633,0.982718
634,0.994843
635,0.952925
636,0.988104
637,0.976875
638,0.961823
639,0.750662
640,0.954880
641,0.980371
642,0.938040
643,0.682041
644,0.955595
645,0.960144
646,0.649532
647,0.959693
648,0.738217
649,0.972599
650,0.918917
651,0.684991
652,0.991846
653,0.066823
654,0.713728
655,0.738716
656,0.938342
657,0.867203
658,0.983833
659,0.969417
660,0.992738
661,0.926980
662,0.989998
663,0.957883
664,0.947673
665,0.951814
666,0.085286
667,0.727119
668,0.972751
669,0.791118
670,0.647973
671,0.801438
672,0.299866
673,0.442039
674,0.766423
675,0.900499
676,0.922771
677,0.753632
678,0.976703
679,0.951463
680,0.953872
681,0.383252
682,0.894638
683,0.976076
684,0.992581
685,0.953899
686,0.956766
687,0.949002
688,0.985149
689,0.980053
690,0.968320
691,0.937881
692,0.928405
693,0.839707
694,0.945678
695,0.981231
696,0.115571
697,0.993435
698,0.981216
699,0.874607
700,0.948962
701,0.817502
702,0.955139
703,0.979271
704,0.694812
705,0.424658
706,0.940916
707,0.268786
708,0.985090
709,0.759019
710,0.984928
711,0.227605
712,0.890580
713,0.994671
714,0.980851
715,0.977657
716,0.900667
717,0.972979
718,0.805212
719,0.910909
720,0.894910
721,0.988102
722,0.995387
723,0.946297
724,0.966812
725,0.996426
726,0.588522
727,0.991411
728,0.995759
729,0.774355
730,0.956279
731,0.864261
732,0.970419
733,0.975975
734,0.993430
735,0.932052
736,0.320067
737,0.946044
738,0.965217
739,0.980601
740,0.994439
741,0.976111
742,0.909772
743,0.984897
744,0.986545
745,0.973793
746,0.995060
747,0.977080
748,0.989158
749,0.989126
750,0.991606
751,0.994164
752,0.968948
753,0.886964
754,0.989028
755,0.848038
756,0.841722
757,0.977522
758,0.984409
759,0.958462
760,0.985123
761,0.947276
762,0.928942
763,0.598532
764,0.872230
765,0.973608
766,0.980170
767,0.718164
768,0.964413
769,0.990300
770,0.957691
771,0.994762
772,0.907352
773,0.983865
774,0.825862
775,0.986916
776,0.514537
777,0.938491
778,0.991138
779,0.990849
780,0.674277
781,0.742575
782,0.885474
783,0.984697
784,0.966588
785,0.067292
786,0.815338
787,0.990914
788,0.893807
789,0.909152
790,0.857249
791,0.968217
792,0.989115
793,0.979390
794,0.955294
795,0.987278
796,0.914147
797,0.977676
798,0.977516
799,0.944163
800,0.993356
801,0.992458
802,0.984017
803,0.943980
804,0.974673
805,0.988775
806,0.835285
807,0.770018
808,0.913632
809,0.897531
810,0.993747
811,0.960442
812,0.056588
813,0.936636
814,0.917740
815,0.487722
816,0.990788
817,0.992336
818,0.917339
819,0.991667
820,0.529831
821,0.846760
822,0.991656
823,0.995200
824,0.980561
825,0.989290
826,0.800242
827,0.989546
828,0.918790
829,0.985139
830,0.968990
831,0.214465
832,0.996998
833,0.970917
834,0.964129
835,0.989272
836,0.831051
837,0.857083
838,0.980517
839,0.848935
840,0.871196
841,0.698959
842,0.982371
843,0.976634
844,0.990520
845,0.936740
846,0.946878
847,0.986153
848,0.987080
849,0.966131
850,0.192777
851,0.971291
852,0.913023
853,0.931683
854,0.083334
855,0.989808
856,0.962262
857,0.932565
858,0.960917
859,0.948341
860,0.986800
861,0.966269
862,0.915592
863,0.939930
864,0.630900
865,0.065595
866,0.940637
867,0.929362
868,0.810268
869,0.960589
870,0.979236
