id,ACTION
1,0.933707
2,0.997423
3,0.998580
4,0.996996
5,0.998927
6,0.996608
7,0.998211
8,0.999740
9,0.856033
10,0.996452
11,0.989899
12,0.996361
13,0.996442
14,0.991904
15,0.965335
16,0.972076
17,0.947921
18,0.994239
19,0.997734
20,0.998691
21,0.999682
22,0.999538
23,0.997890
24,0.995810
25,0.998480
26,0.970925
27,0.995050
28,0.990807
29,0.997690
30,0.990202
31,0.998872
32,0.996341
33,0.997159
34,0.998264
35,0.998228
36,0.997269
37,0.993155
38,0.998872
39,0.993396
40,0.983833
41,0.988679
42,0.996873
43,0.996079
44,0.997728
45,0.997275
46,0.997946
47,0.997938
48,0.995601
49,0.999611
50,0.994563
51,0.996864
52,0.998768
53,0.997471
54,0.997351
55,0.990218
56,0.998002
57,0.993137
58,0.999228
59,0.997061
60,0.995822
61,0.998752
62,0.998295
63,0.991465
64,0.998426
65,0.999032
66,0.998949
67,0.994123
68,0.998528
69,0.984834
70,0.799404
71,0.997074
72,0.997709
73,0.997667
74,0.999248
75,0.995996
76,0.997875
77,0.998771
78,0.992498
79,0.588132
80,0.999515
81,0.996623
82,0.999386
83,0.996647
84,0.998263
85,0.997937
86,0.997838
87,0.994477
88,0.998129
89,0.998035
90,0.948248
91,0.992131
92,0.953567
93,0.998433
94,0.997146
95,0.999165
96,0.996792
97,0.245338
98,0.996508
99,0.996761
100,0.998370
101,0.995953
102,0.896915
103,0.994733
104,0.995826
105,0.409382
106,0.998725
107,0.998083
108,0.996246
109,0.997229
110,0.996272
111,0.937991
112,0.998078
113,0.994355
114,0.996368
115,0.997303
116,0.995376
117,0.997099
118,0.997798
119,0.999538
120,0.995816
121,0.962925
122,0.995903
123,0.995687
124,0.998493
125,0.998305
126,0.989330
127,0.981867
128,0.979531
129,0.986295
130,0.998211
131,0.999067
132,0.998453
133,0.995381
134,0.961284
135,0.998501
136,0.995719
137,0.998500
138,0.993584
139,0.964916
140,0.998427
141,0.998518
142,0.994471
143,0.998482
144,0.997317
145,0.998977
146,0.935658
147,0.948814
148,0.990633
149,0.998911
150,0.997037
151,0.996716
152,0.918764
153,0.998011
154,0.989914
155,0.996732
156,0.984688
157,0.997474
158,0.995976
159,0.790659
